-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,-1
-1,-1,-1,-1,-1,-1,-1,-1,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,-1
173,173,173,45,46,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,-1,-1,-1,173
173,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,173
173,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,173
173,679,679,679,173,173,173,173,173,173,173,173,173,173,173,172,173,173,173,173,174,174,174,174,173
173,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,173
173,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,173
173,174,173,172,173,173,172,173,173,173,173,173,679,679,679,679,679,679,173,173,173,173,173,173,173
173,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,173,13,14,173,172,173,173
173,679,679,679,679,679,679,679,679,679,679,679,679,174,174,174,679,679,173,45,46,173,173,173,173
173,679,679,679,679,679,679,679,679,679,679,679,679,109,109,109,679,679,679,679,679,679,679,679,173
173,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,173
173,173,174,173,173,14,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,173
173,173,173,173,45,46,109,109,109,109,109,109,109,679,679,679,679,679,679,679,679,679,679,679,173
173,109,679,679,679,679,679,679,109,13,14,109,679,679,679,679,679,679,679,679,679,679,679,679,173
173,109,679,679,679,679,679,679,679,45,46,679,679,679,679,679,679,172,109,109,679,679,679,679,173
173,174,679,679,679,679,679,679,679,679,679,679,679,679,679,679,109,109,109,109,109,679,679,679,173
173,109,679,679,679,679,679,679,679,679,679,679,679,13,14,109,109,109,172,109,174,109,679,679,173
173,109,679,679,679,679,679,679,679,679,679,679,679,173,46,109,109,109,109,109,109,109,679,679,173
173,109,679,679,679,679,679,679,679,679,679,679,679,173,173,679,679,679,679,679,679,679,679,679,174
173,173,679,679,679,109,109,109,109,679,679,679,679,173,173,679,679,679,679,679,679,679,679,679,173
172,173,173,174,173,173,173,173,174,173,173,173,173,172,173,679,679,679,679,679,679,679,679,679,173
173,173,173,173,173,174,174,174,174,174,174,174,173,173,173,174,173,174,174,173,173,173,173,173,173
